,customer_id,time,amount,became_member_on,gender,age,income
12914,ad18ad432f5a40c7b8ccce4be4fb530c,0,17.0,2017-08-11,F,51,80000.0
12916,893a121f16cb48e89711a566f291bc57,0,5.95,2015-09-07,M,55,61000.0
12919,c407a4f4f05f467ba6268b048a75e728,0,11.76,2016-01-09,M,33,53000.0
12934,1b710ab9262c480380b05b9e3578f618,0,3.45,2017-10-29,M,54,39000.0
12935,16dc4306258b4fef90ffe99f53ed7952,0,6.32,2018-05-18,F,48,46000.0
12938,da161c948ae74721886c226b1a0c21d3,0,1.3900000000000001,2018-03-05,M,58,50000.0
12942,2c9a9137efff4820a47d56dbf0fa555f,0,18.98,2017-12-14,M,70,50000.0
12947,3ede3a9841e64eadb5b9abcc6be35b5c,0,4.27,2016-12-19,M,50,57000.0
12959,224d8d1b5af746b4b145bd00e4eefd76,0,4.26,2017-01-25,M,81,60000.0
12967,db691240326b44d8bfa7b438c4c41982,0,0.05,2016-12-05,M,46,46000.0
12971,bf7a630d566f46f79b855990daf2d0b0,0,24.98,2015-09-03,M,43,56000.0
12979,20a4a0f9ffd04f619283d6e469d9d3ba,0,18.05,2017-11-20,F,71,68000.0
12982,bf6849a39d3640069a65f44f8b01f5da,0,14.74,2018-02-10,F,66,32000.0
12987,3b78a727167b432d8e1935227b286def,0,15.72,2015-10-16,M,38,68000.0
12994,2372a5dd677842478b5318e4ea525969,0,12.88,2017-09-09,M,60,41000.0
12996,6d11a027be6c4fac98d27eec516ad2f6,0,18.57,2016-03-10,M,74,106000.0
13003,e3cc8e8eb799450e861d546321f90f54,0,7.61,2015-08-30,F,67,61000.0
13004,9a76495a02e9445db40943cc3f1d62d2,0,6.11,2016-08-07,M,62,51000.0
13006,0a53d7787b594ba79e69cf19de80a8c9,0,8.66,2017-08-12,F,22,67000.0
13009,b41d5b99472045829139acbda3e84e1e,0,8.99,2017-03-06,M,65,74000.0
13012,6ef732d213f2406fb1af286e738df9e2,0,3.4,2017-11-26,M,48,64000.0
13015,1a9cc4b4f763429b9cb006bd78cd7a7b,0,2.41,2016-04-22,M,64,55000.0
13020,0454292436bd4cee98e8ec873e30433e,0,24.38,2015-10-30,F,18,62000.0
13023,519cffe93312403daa2834c2b9ef92c0,0,18.11,2017-12-23,M,45,90000.0
13026,e3b3486b202c4a399b6b64f2de81f516,0,1.22,2014-08-14,M,76,56000.0
13027,e5fec103d6ab473998b14851f448cbf5,0,1.33,2016-03-02,,118,
13035,60b8a75638d2461b988ba4f089f8ad24,0,25.07,2017-02-02,F,49,79000.0
13042,9299c46942f84bb6b5e98fd78fbb9d41,0,22.22,2018-03-01,M,70,88000.0
13055,69d148898a80483babb0f9b2f2cccf5a,0,7.66,2013-11-13,F,35,57000.0
13063,0157e63b39c5456393026c6c03f3d84a,0,18.47,2017-11-09,F,70,76000.0
13064,e54bb450866048d7b8dd740a6746e554,0,12.72,2016-12-16,F,48,65000.0
13087,1ba58dab3cae4787ad26d8d77ab7380f,0,13.37,2017-11-26,F,25,54000.0
13091,be01dde700574797b5dc59b0ad45242f,0,11.62,2016-02-09,F,79,55000.0
13099,08d06b602c844926a037b0b253901d52,0,5.62,2015-05-22,M,44,84000.0
13102,3c55dbc0fe1a487c9743dfa6170d20e8,0,2.41,2017-12-03,M,24,32000.0
13105,310481d911904e7893fac7229a608be8,0,13.42,2018-03-25,M,73,70000.0
13117,3f7ac208f7e844cab207ceb8e42177ba,0,0.23,2018-05-08,,118,
13119,fdd4556f915e425498cce83db7f3b85e,0,13.01,2018-01-17,M,32,53000.0
13122,dee3814fa583456a8f6635b45a0ba641,0,21.34,2015-09-13,F,70,80000.0
13129,b6e07f29867b4284aa42106bdc4d51d3,0,39.64,2016-04-03,F,69,87000.0
13137,6fb9bdf5ad7e43eea5133d3621cd1f4d,0,0.54,2015-01-22,M,20,33000.0
13139,72b5a6743ee84f01a40fd6f1a378c560,0,26.47,2017-03-12,F,32,68000.0
13141,5e8b47c6fcec4da0afbe79062da79e04,0,1.0,2014-07-20,,118,
13148,cd15d81298054b478592e89a093bba18,0,2.89,2015-09-26,,118,
13151,623a7bc9b0964d0eb3a341bdc6d157e4,0,9.33,2016-11-20,F,79,42000.0
13154,dfb467ce80d54545ae7ffc103b8fba35,0,14.93,2017-06-26,M,54,56000.0
13157,1c14ac6976fc4f39aacd34c1899e8ead,0,3.69,2017-09-26,F,68,50000.0
13162,90b1cb2159f94783b0e642b549f593a5,0,2.04,2016-11-03,M,49,45000.0
13163,a442df3deaaf4296b5c25564422dc9c7,0,2.49,2014-02-03,M,51,55000.0
13173,917c006586784776a1d11ba0e7671158,0,2.04,2017-08-01,M,58,63000.0
13176,cc5acecea5ce4cae8b4529d418993f00,0,4.43,2017-07-14,,118,
13180,c2f2e7f440bc45738b2fbea9b58217bd,0,11.29,2016-12-04,F,29,38000.0
13182,a45b69f1c8554ae7af83e74426ca437a,0,16.34,2018-03-29,F,77,39000.0
13184,2d4ece84e65741a68e02656bddf4d336,0,2.08,2018-03-18,F,40,42000.0
13192,c9e985e8988f49d29b57b046a07ce995,0,2.26,2017-05-11,,118,
13200,ab147264895d4aebbb0fcbcde4ce3393,0,9.96,2016-03-16,F,57,43000.0
13202,d08a73ea06f441009a2710c5cb2f6327,0,8.55,2017-12-19,M,25,73000.0
13205,a9a088afe7f54587bb28b723d403f476,0,22.87,2017-02-25,F,69,87000.0
13213,08579355f46b49efa8412ddacc4ac832,0,24.72,2017-08-07,F,60,87000.0
13216,d885cede482e4a03b42991c72c254265,0,7.51,2017-03-18,F,29,61000.0
13222,2c598928868943b0aad98901a279db24,0,2.31,2017-11-04,,118,
13224,960a8e7be0104a79985eec96cc72c774,0,2.65,2017-05-06,,118,
13236,b66f9cb486024f0d87ab7469e8d7528d,0,2.24,2018-01-19,F,50,33000.0
13240,8614aba093c549c9a9d38e212588763b,0,1.6800000000000002,2018-01-16,,118,
13243,5c156a85d48045cca4e1673a59d65792,0,17.17,2017-08-23,F,40,57000.0
13247,135ceb57c67d4f768bf20cb33b887e24,0,1.7000000000000002,2017-08-17,F,50,59000.0
13248,6c1a4e344d4b4215a07e2a3dfd655069,0,1.01,2017-03-03,F,57,55000.0
13252,ce00548e34ef41ec93e4fbbe6a05d05c,0,12.09,2017-01-18,F,38,58000.0
13258,597760e0272a460cbc840b471d768427,0,0.52,2017-04-08,,118,
13260,097e0be7292b4349a952e59ee82bab73,0,6.15,2017-12-22,M,19,32000.0
13266,5c76370980e54446ada45f7891cfacb3,0,1.06,2018-01-30,M,74,54000.0
13267,c7f2086077db4e609473990c299df5ee,0,12.07,2016-05-08,M,29,71000.0
13278,74fcd98b46fc47cba9423e23ce0b294f,0,0.8,2016-04-18,M,30,48000.0
13282,9ebe696078b742b389f486bd3a98ca56,0,1.26,2014-01-14,F,62,40000.0
13291,58181a9005da442bb9372127e3d1d584,0,4.85,2016-11-03,F,58,46000.0
13302,71de1f697e3142b685847eabb040440e,0,20.46,2017-04-30,M,70,84000.0
13303,5725b27c56ce42bb86569bd965ab35eb,0,33.56,2017-01-28,M,60,92000.0
13319,919ee63437d742729f1f502ae9e619d9,0,23.29,2017-04-27,M,39,71000.0
13335,8f808e51d5614c859a4cd1ea857ba917,0,2.18,2017-10-27,M,64,41000.0
13339,a2506fdc02c544a98f491ac97fa62f88,0,1.13,2018-05-10,M,64,42000.0
13343,e69d14d68af245d38c80ced842edf53a,0,1.51,2014-11-14,F,39,55000.0
13350,bb77ce209b4a4ca89349030aea4b949e,0,26.11,2016-12-27,M,42,97000.0
13353,e5d9981344d64051ab8e2a2a466d146b,0,6.52,2015-10-29,F,38,43000.0
13357,a08eae366ff245f3bcba710e73899db0,0,8.57,2016-06-19,F,51,74000.0
13361,e556caf9d9f4490893bf8b500b715275,0,5.98,2018-05-13,F,38,54000.0
13367,93e6fefaf5ba4d1594d57f3120603819,0,10.56,2017-06-06,F,25,45000.0
13369,04e5255c9e754c66b83c06ec70f62203,0,8.27,2017-09-04,M,93,35000.0
13376,86b493a2b7554a11aedf51eca0c6b033,0,26.5,2016-01-30,M,55,72000.0
13379,b1b28e36ca0d4c849f7a9204a9a78eff,0,9.08,2015-10-17,M,72,34000.0
13381,2459a2c15aa6485786c095a1d5b39d18,0,21.4,2017-11-07,F,54,103000.0
13385,917dee13d24f45548be30b7bb32ba50d,0,19.53,2017-12-20,F,24,68000.0
13388,6de6f7e081af455886287068f1b40419,0,3.5300000000000002,2018-04-22,F,25,67000.0
13394,9d761dd3dffa40b584ea9e0030d7083e,0,14.57,2015-10-08,M,64,68000.0
13404,2d4d590ae66645c389c879f77f3e91b4,0,24.26,2018-05-15,F,54,99000.0
13408,b49c9836c2c84ebbb3a007739527ffc2,0,16.76,2018-01-15,F,21,42000.0
13415,3b4d2c0594a04f13b7b0eca54cb3435a,0,2.06,2017-11-26,M,50,56000.0
13417,728036f087b945e9add781c1bfb8d885,0,6.13,2018-04-19,M,57,70000.0
13428,76244aaaebc54b67b4d0e236a58c6ff3,0,11.1,2017-02-06,F,20,35000.0
13433,c8c7d3b6effd4f518878e42f7d5428a1,0,16.32,2015-07-31,M,32,59000.0
13436,2172dc3aa5ca4e68819ed402a2f91a9e,0,0.16,2015-02-26,M,41,30000.0
13437,3d49100a7a3840dea1226cffe0bec553,0,3.8,2017-08-09,M,26,68000.0
13442,645bdee43b0f43899320fcb0b427084c,0,10.96,2017-10-04,M,54,83000.0
13445,85240db9bdca4e5486b9837ae5ceea59,0,0.7000000000000001,2017-11-12,,118,
13447,e7593c299cd84b9f9b2c5d170ebc36df,0,0.05,2018-01-22,,118,
13451,cd9bac9e8aea4609929a55b9b468c88e,0,3.18,2017-06-01,M,30,65000.0
13454,9da20f64522348e7a8d5006fc232b2b6,0,4.32,2018-07-12,M,27,74000.0
13460,029e063479234fb1b6c8727c3d45de62,0,37.34,2017-11-25,M,71,93000.0
13466,49dca978505c4ab98af51313edf2bd7d,0,27.55,2016-10-11,M,69,105000.0
13471,83d2641895054948946aa6e898b85632,0,15.22,2015-12-08,M,55,85000.0
13475,b64a01dbc7354205bdfdef5ca0ecbe6e,0,0.62,2018-04-11,M,67,41000.0
13479,a52af30da74d48c582ff6735cc3d41c0,0,13.67,2018-01-04,F,83,61000.0
13491,2a5f89c79a104198b302c1cb2fd406d9,0,1.42,2014-02-26,M,23,71000.0
13493,f15a85e0d2f946cf8b1e6f8e99b1a72d,0,23.03,2018-03-15,F,61,113000.0
13496,94319e8f726e4403bb8d9cdfbc57062f,0,22.19,2017-11-29,F,52,81000.0
13497,fe245b31d1334751906c8ce0cd833a64,0,2.95,2015-09-03,M,41,34000.0
13501,9163e597059d49aa8e3d3428d3fbb35a,0,8.1,2017-10-17,M,22,53000.0
13503,23a674ce0edb4458a1d8fdb1d8ed067c,0,1.34,2018-03-12,M,38,35000.0
13504,181a9ffd330e4f89a93a812ae2653880,0,5.75,2015-11-22,F,23,31000.0
13510,570a49383dce4bd59f2c3212fff57036,0,0.30000000000000004,2015-01-23,F,21,36000.0
13515,13032878f513409bb503d79069bd8779,0,4.35,2017-12-20,M,22,53000.0
13518,6fbd611055b84f45bb23eb003742207c,0,0.30000000000000004,2017-04-15,M,27,67000.0
13519,8f45a5974df34ff3898cb0fa61d28dcc,0,22.37,2015-08-30,M,27,73000.0
13520,72f26c7826174e8d8426e02ee335f9f9,0,4.34,2017-12-07,,118,
13525,6b05f96fe4c84347a007eadc4439e1f8,0,9.91,2016-10-14,M,40,85000.0
13529,0f0d1325cdf646bea396a91d4868f7dd,0,5.75,2016-03-31,F,68,66000.0
13531,16bb0c6f3b1d456eb1637e0e59b68b99,0,25.79,2016-12-08,M,84,95000.0
13533,1b280e5d01d444ddba1b3871e0ac3bbe,0,20.18,2017-09-14,M,42,61000.0
13538,e039a7776e2d4ebfbb5b240e3811c0a3,0,12.06,2017-09-13,M,59,73000.0
13547,98c1b918a5ed47758c74bf3450b3dc2a,0,7.58,2017-10-08,F,48,56000.0
13550,90dfdd37a816473ca7fd1fc806c657e2,0,17.89,2015-09-06,F,68,105000.0
13552,686337f3cd1d4f548af8dcf79b727954,0,34.01,2017-02-04,F,58,86000.0
13554,fac3b68123004528ad5a02842818eee5,0,16.38,2018-05-26,M,20,41000.0
13556,0ac4cc504d9047d3aac00d5c8417f784,0,23.08,2017-07-26,F,53,87000.0
13561,3c2f772174ea4c4fa501a2275a614876,0,10.25,2017-09-17,M,45,35000.0
13564,e5c6a20a9e484510ab9977e353a07d60,0,1.8,2015-09-30,M,62,65000.0
13572,b64b461c1e4547359eb09ad574ff6f5d,0,21.97,2015-11-13,M,39,60000.0
13575,ad520f42370b4a419a99368fbad31e21,0,13.37,2017-10-05,M,40,70000.0
13578,0206e1388c34454caba2b7fce3123943,0,16.62,2017-06-04,M,39,71000.0
13581,dd2f15d3224349b3a54cbb4a91e89e0c,0,32.61,2016-05-17,F,65,66000.0
13584,461f33f4bfad4209944e465e620039eb,0,34.88,2018-07-01,M,57,98000.0
13589,1fa45d0a243c4303b070877b7e161d85,0,7.48,2017-12-27,F,25,72000.0
13592,0faa918444744117808623014e14ce7e,0,8.83,2015-04-29,M,34,52000.0
13595,34b216d046e74a53adf47e99b819c882,0,10.71,2015-08-04,M,71,86000.0
13598,9c563cf237064fd39cf150e0d386c135,0,2.33,2016-02-04,,118,
13600,8d50d555f002482bacd7d80c68ae452c,0,10.24,2017-08-04,F,20,35000.0
13601,ae42972c2f1a4c5e911a1d5f2e59bde3,0,0.19,2017-04-05,,118,
13606,257ea016615b44b9ba7caca046d0261a,0,18.74,2015-09-20,F,35,54000.0
13611,1e8afbff73494145a26f9b5475dfc9f6,0,25.96,2016-08-23,F,49,100000.0
13613,e28ff05c85ee48f4b7d25eabfbd63f3a,0,1.78,2016-04-09,M,62,48000.0
13622,42047da7b4444c408754ec94d113ee5f,0,8.11,2017-09-28,M,47,46000.0
13624,5be42bf19dd44c9cbb68ef25c1fce9a5,0,26.81,2017-03-24,M,77,92000.0
13629,1c3df5c135b541eb8f5ac99266e78b47,0,2.38,2017-01-07,,118,
13635,b209f58bcf7e458e889ce5842b8a5e9b,0,1.09,2015-02-28,,118,
13636,d072aff43dfc4d64a572e871c1872ddb,0,2.24,2015-12-01,,118,
13637,3ebc5de1f681499e894fd5e388a2b987,0,11.81,2016-09-20,F,40,75000.0
13642,42f0d273d2914b0192bd37a37888df36,0,16.92,2017-02-05,M,34,48000.0
13646,b69d33d582fa4ffbbe9f1fd022f24463,0,8.71,2016-09-13,,118,
13650,6a6412f9489146c5ac95a6a96ad40381,0,12.36,2017-10-31,M,60,75000.0
13659,24ab1d9c55254e8eb9d263f3bf3d98fc,0,6.72,2017-02-11,F,60,52000.0
13661,322e2846ec574c6e8aee62fef3eea33e,0,17.64,2016-07-06,F,54,61000.0
13671,3dfb16c7592048699d72aba5307fc67d,0,3.15,2013-10-01,M,22,46000.0
13675,a9fbb81cea3a41eab9cdf1d2952c9cd4,0,0.54,2014-01-24,M,47,44000.0
13680,efbc09e54d6a4acfb0a624e722937738,0,4.93,2018-03-12,F,48,33000.0
13688,8e0f512b4278472782bd4e1154cfa3b5,0,1.7000000000000002,2017-06-27,,118,
13690,4399fd7521de4731838ac1215975a5d8,0,0.51,2016-01-22,M,65,48000.0
13693,336b4fbe09bd4d74bf0ecd376b53d4d9,0,18.92,2016-07-29,F,43,44000.0
13695,6200620f3420479c9a00f5481fa4f0a3,0,19.38,2016-12-17,M,68,71000.0
13697,5ebaee051289489da4f8c9c63d7b505f,0,5.62,2015-11-23,,118,
13701,9b57b7bc4ea24fc1a3d2f4760a141941,0,5.93,2016-06-27,M,71,30000.0
13706,85ba195ec59d433e81b89e72803b11b0,0,2.19,2014-04-01,M,18,42000.0
13710,c703a48f54fc4375940d6ae70ee5c003,0,19.79,2018-03-21,M,57,76000.0
13719,25e43e5144f8494b9e77c1ee72459b7d,0,1.88,2016-03-18,,118,
13726,ca2458fa84cc4667ab420e8559f88439,0,0.2,2017-05-17,M,52,41000.0
13735,70b101d6e43e48efb30af0569413eb9a,0,17.12,2015-11-05,M,30,47000.0
13737,7c03888c7d2442c3bf00bdc22716e534,0,16.68,2016-03-22,M,69,32000.0
13743,25d1e76f7c0b43579b0e5a07cc827bf5,0,14.51,2015-10-11,F,74,65000.0
13745,73c27012b82d4d6da8bee4b0eea67aef,0,0.7000000000000001,2017-07-31,M,19,65000.0
13747,43ffb6ce475d4ccba9828e4a07a4c31f,0,18.6,2017-03-17,F,34,47000.0
13751,787d7fac9488408b99bc4be662ae2655,0,45.09,2016-09-03,F,48,85000.0
13759,8d8eae1054a84ecd9ec8879fbc0858f9,0,19.01,2016-12-30,F,56,79000.0
13762,5dda3558f4704bf9a5e46c115cf2f6b7,0,16.51,2015-08-26,F,45,50000.0
13770,292117548f3e4adebb5b5f896e479f13,0,11.46,2018-04-21,M,66,46000.0
13776,6c38253ffb414473a86838e84915a609,0,25.14,2013-10-09,M,57,86000.0
13782,0c55f7afe6a44b859a2344af100ec3f3,0,0.13,2017-06-16,,118,
13785,388bda1fea454949abd8d927b04cbd6b,0,17.56,2016-07-10,F,65,98000.0
13788,5e60c6aa3b834e44b822ea43a3efea26,0,2.66,2014-11-20,M,59,55000.0
13793,0f4a68826e204f45be2a1103dcc5b014,0,16.29,2017-06-07,M,30,59000.0
13796,8c2e83342f5447e5b0414c6a3f32d53c,0,1.11,2017-12-31,F,68,64000.0
13797,80dd8428e215496688f007494fff6600,0,0.11,2018-05-12,M,59,31000.0
13805,2cef524a7be341e0b51ff1a3b1228a78,0,28.97,2015-09-03,F,88,95000.0
13807,020cd0f8047142e18a754303f9337d53,0,20.5,2018-05-13,F,83,67000.0
13812,8548baf4011c4e8b848d19cbe4010cfa,0,0.06,2016-03-24,,118,
13813,83cd960ba3094a70a854aaca8232510b,0,3.33,2018-01-25,M,71,39000.0
13814,3ae61bb2d55341d082bddb6938d494db,0,14.07,2016-08-17,M,73,63000.0
13817,eefce44ec87640a499c1043a3cf32f31,0,25.14,2016-01-03,M,73,92000.0
13820,fcab73d6aea946eba8569dee5141738b,0,7.71,2017-12-14,M,37,30000.0
13821,670626b55bfb4ba39c85b27cc7cca527,0,7.55,2016-05-11,M,21,39000.0
13823,94f30e79709c4986b42a5a210c2bac4e,0,3.29,2015-10-02,F,81,53000.0
13825,af1447ec7d6b4fef9998a831aedd3102,0,1.27,2018-05-02,F,76,65000.0
13828,6654aee73c3b477da42ca1b585562e95,0,10.8,2016-01-14,M,70,53000.0
13830,f3744c73f14f4ceaa1f9059aa34087d1,0,11.03,2017-02-14,F,34,44000.0
13832,40bbc83401e74e71ace9e09af32c516e,0,11.09,2015-10-15,M,49,47000.0
13837,3bfb10e9ca4f4e6292425d16c0c1cff3,0,5.85,2016-09-04,,118,
13844,95d6656ab3d74c309ba5cd64099aadfd,0,21.02,2018-05-07,M,42,54000.0
13849,9fe7598aa80447f281433beb1c2b5a48,0,28.16,2018-03-03,F,39,36000.0
13851,d212052a213842e7863821f278bc4bdf,0,13.03,2015-02-25,M,62,83000.0
13854,8afe5b98fadd4671835b6ed6d9d52755,0,0.74,2014-12-03,M,30,31000.0
13855,6263d948f09b4cfc87b0b59955f269f1,0,8.58,2016-10-02,M,41,48000.0
13860,f70e4e136db845fc8d9999a5c5941478,0,1.22,2014-01-22,M,36,40000.0
13863,e75f049cf8bd494bac2d4bfdc17679cf,0,11.57,2018-06-04,M,57,80000.0
13866,1808ae5afa61471ca4676755b5eeabf9,0,9.07,2017-09-27,F,47,62000.0
13867,80a081a487514d7582afd7b4addd7027,0,9.81,2018-07-15,M,77,58000.0
13871,de39daa87e9b4d808a7536057484b6a4,0,1.6600000000000001,2017-10-24,M,30,37000.0
13872,4468048bdc5548238d2ee46de738eb39,0,20.47,2015-08-04,F,55,71000.0
13875,41486bbaab7a49e2afc05d2b48d3b00f,0,16.6,2015-08-21,M,44,75000.0
13880,05f4d69f73024172a23a350e611166b4,0,8.97,2018-01-17,F,36,47000.0
13885,760fe67c2f7f4a67b6e10fe5c8d129e3,0,4.14,2015-05-20,M,32,72000.0
13901,6c7eda4aff42485d8a6c4868c0739857,0,25.37,2017-02-05,M,45,69000.0
13907,c8bd3632ce7b4f8f8ea2c10a8bd2c25c,0,21.46,2017-03-01,F,23,46000.0
13908,76f2d0fd5c084f6e9ef847c096225fcf,0,13.1,2015-12-27,F,56,82000.0
13911,e67ada5fe1e240879e7a104257b196f8,0,2.15,2017-04-14,F,64,40000.0
13913,d162eae1102148a9883683a11f4f05f4,0,22.92,2018-02-19,M,89,80000.0
13918,b1e18f93038f45c7ae46bd835ac8c9f0,0,2.69,2017-12-25,,118,
13919,48c1ee6a10d74a20a411ba8fa7c08f03,0,3.96,2013-09-02,M,63,45000.0
13922,52eb99f0838e4d69b3a33cdfd899f5a6,0,34.73,2015-09-14,F,53,96000.0
13926,7b53d7ddc0d64a929d216857837bdab6,0,27.52,2015-12-29,F,70,95000.0
13929,a138d7637a054c37800609decf35c5c6,0,23.51,2018-01-24,M,63,96000.0
13931,2fd7a38e7640433facbad7081668f671,0,12.54,2017-02-05,M,26,55000.0
13941,62d62b276f924bd4a5c2d97a39a68711,0,1.57,2018-01-29,,118,
13945,e9d127cf3f794ccbaac940f93c15ce8c,0,5.15,2018-03-23,M,43,72000.0
13947,a05d5de8d4314ec19162578f67af3fee,0,16.3,2018-02-04,F,62,74000.0
13950,1885c809d58447988f532ff93c41d8e5,0,16.58,2017-10-06,M,50,76000.0
13952,33834c812b4e47e4955093ad03f6117a,0,10.81,2017-06-26,M,73,49000.0
13954,e5d17d8549544c19864a9fc8080991c2,0,2.35,2018-04-26,,118,
13964,c0231649f05d40889e3a6e1172303b37,0,14.09,2015-09-13,O,39,53000.0
13967,f0d129d6bb79456b8529884a83d16007,0,5.36,2017-10-20,M,69,51000.0
13971,654c2fc759ce42659ef8e61d6e03ee00,0,17.36,2017-01-30,F,40,57000.0
13973,708d8271f758417e9555313e8de385ce,0,5.29,2015-11-21,F,53,55000.0
13975,3b84fac9ca1148bb96b133ced98f565a,0,13.13,2016-05-16,F,30,66000.0
13978,d8192bb8400249d18947acf38b2619fa,0,6.14,2017-12-13,M,45,35000.0
13981,c70d85b0459548ccbcbba921b40ed21c,0,2.89,2016-09-09,,118,
13986,d087fd0166404163b7d1e1e7cf2a9ac7,0,1.87,2017-12-04,M,71,63000.0
13989,6622080e3f134a41b6c5c869b634042b,0,2.61,2018-07-07,,118,
13997,dd2d770b5b9f41bd9382964971dde25e,0,28.82,2016-05-12,F,61,81000.0
14006,329a9b32e7e0475cb2643125919c4d90,0,5.48,2016-06-06,M,31,46000.0
14011,53426d80b1f7435284264b934478a750,0,14.73,2016-11-06,F,72,66000.0
14015,5da599f0f0ca40a6916e28487a55e655,0,18.39,2015-08-29,M,24,60000.0
14018,c86a41d7fc0d41039b948b7a966093bd,0,6.25,2018-03-23,M,33,33000.0
14025,31310171303d44bda447029144b42614,0,40.06,2018-04-07,F,63,110000.0
14034,c2a9b079816a46e79664ae0fe5858167,0,0.30000000000000004,2017-03-17,,118,
14038,fc69570a2ba74e92b1bf03cc30b1c66a,0,6.25,2016-07-23,M,80,64000.0
14040,4854ec4591d14861a009094685279a5b,0,4.55,2018-02-25,M,73,70000.0
14045,1a3180ae6909486f9c260dcd30d6e795,0,10.02,2018-05-14,F,60,56000.0
14047,c98c6fb3dcfa4c92b8e329a216e83e62,0,5.29,2017-07-24,M,26,44000.0
